courseId,courseOfferNumber,termCode,termDescription,sessionCode,classSection,crseCatEffectiveDate,subject,subjectDescription,catalogNumber,catalogNumberInt,catalogNumberChar,catalogNumberSort,classNumber,academicYear,courseTitleLong,enrollmentCap,componentCode,componentDescription,unitsMaximum,equivalentCourseId,academicCareer,classAcadOrg,classAcadOrgDescription,subjectAcadOrg,subjectAcadOrgDescription,acadGroup,acadGroupDescription,gradingBasis,gradingBasisDescription,classType,classTypeDescription,enrollmentConsent,enrollmentConsentDesc,requirementGroup,requirementGroupDescription,examDate,examTimeCode,schedulePrint,classStatus,classStatusDescription,termPatternCode,termPatternDescription,courseNote,recommendedPreparation,bracketedFlag,courseDescr,courseDescrlong,enrollmentCount
108564,1,2172,2017 Spring,1,001,15-AUG-16,FRSEMR,Freshman Seminar,22T,22,T,000000000000000022T,10461,2017,Why We Animals Sing,11,FSE,Freshman Seminar,4, ,FAS,FRSP,Freshman Seminars,FRSP,Freshman Seminars,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,I,Instructor Consent Required,001067,Course open to Freshman Students Only,"","",Y,A,Active,SP,Spring Only,"","",N,Why We Animals Sing,"<p>We do not sing alone. On land, four kinds of animals produce songs or calls: birds, frogs, mammals, and insects. Some of these (and fish) also do so underwater. The principal sounds such animal species make are signaling behaviors directly related to mating success. They are of individuals, usually males, marking territories, and wooing mates. However, in any one location, species may also compete with one another for occupation of acoustic space (that is, for bandwidth) and otherwise optimize their sound signals to features of their environment. We will explore these topics and others as we listen to and read about each of the various kinds of singers on earth, the biology of their sound production and reception, and the ways they attract mates while avoiding becoming meals for eavesdropping predators. We will listen to many different kinds of acoustic signalers across a wide array of acoustic communities in tropical and temperate settings, both terrestrial and aquatic, and we will examine sound spectra on a large screen as we listen and slow down and isolate sounds to help distinguish their parts. Finally, we will consider the biology and evolution of music in humans, considering evidence from brain studies, archaeology and anthropology, and the music of indigenous peoples. We will look at music parallels in different kinds in animals of other species. There will be field trips to listen to and record assemblages of local species. The overall objective is to awaken the students&rsquo; sense, understanding, and appreciation of the acoustic environment from which we come, and the role of this environment in shaping human biology and culture. There is a fair bit of reading required in preparation for weekly discussions. Accordingly, participation will be expected for discussion of the readings and listening experiences.</p>",0
108639,1,2172,2017 Spring,1,001,30-AUG-15,GOV,Government,92R,92,R,000000000000000092R,10470,2017,Faculty Research Assistant,9999,SEM,Seminar,4, ,FAS,GOVM,Government,GOVM,Government,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,I,Instructor Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,This course must be taken Sat/Unsat.,"",N,Faculty Research Assistant,<p></p>,0
108694,1,2172,2017 Spring,1,001,18-DEC-15,AFRAMER,African and African American Studies,209B,209,B,000000000000000209B,10474,2017,Africa Rising? New African Economies/Cultures and Their Global Implications,9999,SEM,Seminar,4, ,FAS,AAAS,African and African American Studies,AAAS,African and African American Studies,FAS,Faculty of Arts & Sciences,LG,Letter Grades,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,SP,Spring Only,"","",N,Africa Rising? New African Eco,"<p>In a story titled Africa Rising (2011), The Economist argued that the continent epitomizes both the &quot;transformative promise of [capitalist] growth&quot; and its bleakest dimensions. This workshop will explore Africa&#39;s changing place in the world - and the new economies, legalities, socialities, and cultural forms that have arisen there. It will also interrogate the claim that the African present is a foreshadowing of processes beginning to occur elsewhere; that, therefore, it is a productive source of theory about current conditions world-wide. The workshop, open to faculty and students, will meet Mondays, 6:00-8:00. 15 students will be permitted to take it as a course; they will also meet on Mondays, 12:00-1:30. Grades will be based on participation and a term essay.</p>",0
108705,1,2172,2017 Spring,1,001,30-AUG-15,GERMAN,German,91R,91,R,000000000000000091R,10475,2017,Supervised Reading and Research,9999,TUT,Tutorial,4, ,FAS,GERM,Germanic Languages and Literatures,GERM,Germanic Languages and Literatures,FAS,Faculty of Arts & Sciences,LG,Letter Grades,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,Permission of the Director of Undergraduate Studies is required.,"",N,Supervised Reading & Research,<p>Advanced reading in topics not covered in regular courses.</p>,0
109282,1,2172,2017 Spring,1,001,15-JAN-16,ENG-SCI,Engineering Sciences,229,229,"",000000000000000229,13726,2017,Survey of Energy Technology,999,LEC,Lecture,4, ,FAS,ENGSCI,Engineering Sciences,ENGSCI,Engineering Sciences,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,I,Instructor Consent Required, ,"","","",Y,A,Active,SP,Spring Only,This course must be taken Sat/Unsat. Cannot be used for SEAS concentration credit. Students may not take both Engineering Sciences 229 and Engineering Sciences 231 for credit.,"Calculus of a single variable, one semester of college-level physics, and familiarity with chemistry at the high school advanced placement level.",N,Survey of Energy Technology,"<p>Principles governing energy generation and interconversion. Current and projected world energy use. Selected important current and anticipated future technologies for energy generation, interconversion, storage, and end usage.</p>",0
110256,1,2172,2017 Spring,1,001,30-AUG-15,PHYSICS,Physics,304A,304,A,000000000000000304A,10388,2017,Topics in Field Theory and String Theory,9999,REA,Reading Course,16, ,FAS,PHYS,Physics,PHYS,Physics,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Field Theory & String Theory,<p></p>,0
110257,1,2172,2017 Spring,1,001,30-AUG-15,PHYSICS,Physics,304B,304,B,000000000000000304B,10389,2017,Topics in Field Theory and String Theory,9999,THE,Thesis Research,16, ,FAS,PHYS,Physics,PHYS,Physics,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Field Theory & String Theory,<p></p>,0
110258,1,2172,2017 Spring,1,001,30-AUG-15,NEC,Near Eastern Civilizations,91R,91,R,000000000000000091R,10390,2017,Supervised Reading and Research,999,TUT,Tutorial,4, ,FAS,NELC,Near Eastern Languages and Civilizations,NELC,Near Eastern Languages and Civilizations,FAS,Faculty of Arts & Sciences,LG,Letter Grades,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Supervised Reading/Research,<p>Tutorial supervision of research in subjects not treated in regular courses.</p>,0
110261,1,2172,2017 Spring,1,001,18-AUG-16,COMPSCI,Computer Science,378,378,"",000000000000000378,10391,2017,Sketching Algorithms for Massive Data,9999,THE,Thesis Research,4, ,FAS,CS,Computer Science,CS,Computer Science,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Sketch Algorithms Massive Data,<p></p>,0
110263,1,2172,2017 Spring,1,001,18-AUG-16,COMPSCI,Computer Science,380,380,"",000000000000000380,10392,2017,Algorithms for Social Data,9999,THE,Thesis Research,4, ,FAS,CS,Computer Science,CS,Computer Science,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Algorithms for Social Data,<p></p>,0
110265,1,2172,2017 Spring,1,001,18-AUG-16,APPHY,Applied Physics,376,376,"",000000000000000376,10393,2017,Nonlinear Dynamics of Soft Interfaces,9999,THE,Thesis Research,4, ,FAS,APPHYS,Applied Physics,APPHYS,Applied Physics,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,I,Instructor Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Nonlinear Dynamics of Soft,<p></p>,0
110267,1,2172,2017 Spring,1,001,30-AUG-15,SCRB,Stem Cell and Regenerative Biology,304,304,"",000000000000000304,10395,2017,Human Molecular Genetics,9999,THE,Thesis Research,4, ,FAS,SCRB,Stem Cell and Regenerative Biology,SCRB,Stem Cell and Regenerative Biology,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Human Molecular Genetics,<p></p>,0
110272,1,2172,2017 Spring,1,001,30-AUG-15,AFRAMER,African and African American Studies,90R.A2,90,R.A2,000000000000000090R.A2,10396,2017,Hassaniyah,9999,TUT,Tutorial,4, ,FAS,AAAS,African and African American Studies,AAAS,African and African American Studies,FAS,Faculty of Arts & Sciences,LG,Letter Grades,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,This course is offered only when there is demonstrated curricular and academic need on the part of the student. Please consult the Director of Language Programs for more information. Not open to auditors.,"",N,Hassaniyah,"<p>Individualized study of Hassaniyah at the elementary, intermediate, and advanced levels. Contact hours with language coach. Emphasis on literacy.</p>",0
110309,1,2172,2017 Spring,1,001,30-AUG-15,ECON,Economics,2050,2050,"",000000000000002050,10426,2017,"Behavioral Economics, Law and Public Policy",9999,SEM,Seminar,4, ,FAS,ECON,Economics,ECON,Economics,FAS,Faculty of Arts & Sciences,LG,Letter Grades,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,SP,Spring Only,Offered jointly with the Kennedy School as API-305 and with the Law School at 2589.,Instructor permission is required.,N,"Behavioral Econ, Law & Pub Pol",<p>This seminar will explore a series of issues at the intersection of behavioral economics and public policy. Potential questions will involve climate change; energy efficiency; health care; and basic rights. There will be some discussion of paternalism and the implications of neuroscience as well.</p>,0
110310,1,2172,2017 Spring,1,001,30-AUG-15,ECON,Economics,2510,2510,"",000000000000002510,10427,2017,Inside Government: Making Public Policy,9999,SEM,Seminar,4, ,FAS,ECON,Economics,ECON,Economics,FAS,Faculty of Arts & Sciences,LG,Letter Grades,E,Enrollment Section,I,Instructor Consent Required, ,"","","",Y,A,Active,SP,Spring Only,Jointly offered with the Kennedy School as BGP-300 and the Law School as 2623.,"",N,Inside Gov: Making Public Pol,"<p>This seminar will explore an assortment of issues, ranging from environmental regulation (including climate change) to financial regulation to public health, at the intersection of theory and practice. Among other things, the seminar will discuss the role of cost-benefit analysis, legal limits on regulation, and both standard and behavioral economics.</p>",0
110362,1,2172,2017 Spring,1,001,30-AUG-15,HAA,History of Art and Architecture,96B,96,B,000000000000000096B,10440,2017,Connections - Studio II,9999,STO,Studio,4, ,FAS,HAA,History of Art and Architecture,HAA,History of Art and Architecture,FAS,Faculty of Arts & Sciences,LG,Letter Grades,E,Enrollment Section,I,Instructor Consent Required, ,"","","",Y,A,Active,SP,Spring Only,"",History of Art and Architecture 96a.,N,Connections - Studio II,"<p>Over half the world's inhabitants live in urban environments. Understanding, engaging, and re-imaging the urban condition, with all its complexities, structures, processes, and idiosyncrasies has become a pressing issue for architects, landscape architects, and urban designers alike. This studio will focus on the urban condition as a byproduct of the connections between both human and nonhuman frameworks (systems + environments). Using diagramming and mapping processes, both iteratively and speculatively, students will investigate system-environment relationships through the examination of qualities, behaviors, and territories for a select set of urban agents. Each investigation will reveal latent, suppressed, emerging, provisional, and otherwise unmapped connections, which influence the formation of urban spaces, infrastructures, and technologies. Course material is presented through a series of exercises, lectures, workshops, and reviews, which introduce students to the application of foundational design principles and critical design strategies. This course fosters the development of a design methodology founded on thoughtful, creative, ethical and sustainable practices, and explores meaningful expressions for the built environment.</p>",0
110387,1,2172,2017 Spring,1,001,15-JAN-16,SHBT,Speech and Hearing Sciences,330,330,"",000000000000000330,10442,2017,Dissertation Research,9999,RR,Reading and Research,16, ,FAS,MDSC,Medical Sciences,MDSC,Medical Sciences,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,SP,Spring Only,"","",N,Dissertation Research,<p>For SHBT graduate students studying in research labs at MIT only.</p>,0
110390,1,2172,2017 Spring,1,001,15-JAN-16,SHBT,Speech and Hearing Sciences,311,311,"",000000000000000311,10444,2017,Clinical work at MGHIHP,9999,RR,Reading and Research,16, ,FAS,MDSC,Medical Sciences,MDSC,Medical Sciences,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,For SHBT students only.,"",N,Clinical work at MGHIHP,<p></p>,0
110416,1,2172,2017 Spring,1,001,15-JAN-16,CELLBIO,Cell Biology,359,359,"",000000000000000359,10457,2017,Intracellular Signaling Pathways in the Regulation of Cell Growth and Differentiation,9999,RR,Reading and Research,16, ,FAS,MDSC,Medical Sciences,MDSC,Medical Sciences,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Intracellular Signaling Pathwa,<p></p>,0
110421,1,2172,2017 Spring,1,001,08-APR-16,GENETIC,Genetics,366,366,"",000000000000000366,10458,2017,Molecular Genetic Approaches to Human Disease Mechanisms,9999,THE,Thesis Research,16, ,FAS,MDSC,Medical Sciences,MDSC,Medical Sciences,FAS,Faculty of Arts & Sciences,SUS,Satisfactory/Unsatisfactory,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,FASP,Fall and Spring,"","",N,Molculr Genetc Apprchs Human,<p></p>,0
110451,1,2172,2017 Spring,1,001,30-AUG-15,MCB,Molecular and Cellular Biology,64,64,"",000000000000000064,10467,2017,The Cell Biology of Human Life in the World,9999,LEC,Lecture,4, ,FAS,MCB,Molecular and Cellular Biology,MCB,Molecular and Cellular Biology,FAS,Faculty of Arts & Sciences,LG,Letter Grades,E,Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,SP,Spring Only,"","",N,Cell Biology of Human Life,"<p>This course teaches fundamental concepts in cell biology in the context of individual life histories drawn from different parts of the world. Each life case focuses on key aspects of human development, growth, aging and disease while providing a nuanced view of the interplay between the life sciences, geography and culture. For example, a comparative discussion of aging in the United States and Japan is used to explore diet, cellular metabolism and its relationship to protein damage and turnover, while the Human Immunodeficiency Virus and AIDS in South Asia is used to explore mucosal immunity and the basis for estimating relative infection risk. Each case delves into the cell biology of major biological events across the life history of the human</p>",0
110451,1,2172,2017 Spring,1,002,30-AUG-15,MCB,Molecular and Cellular Biology,64,64,"",000000000000000064,12098,2017,The Cell Biology of Human Life in the World,9999,DIS,Discussion,4, ,FAS,MCB,Molecular and Cellular Biology,MCB,Molecular and Cellular Biology,FAS,Faculty of Arts & Sciences,LG,Letter Grades,N,Non-Enrollment Section,N,No Special Consent Required, ,"","","",Y,A,Active,SP,Spring Only,"","",N,Cell Biology of Human Life,"<p>This course teaches fundamental concepts in cell biology in the context of individual life histories drawn from different parts of the world. Each life case focuses on key aspects of human development, growth, aging and disease while providing a nuanced view of the interplay between the life sciences, geography and culture. For example, a comparative discussion of aging in the United States and Japan is used to explore diet, cellular metabolism and its relationship to protein damage and turnover, while the Human Immunodeficiency Virus and AIDS in South Asia is used to explore mucosal immunity and the basis for estimating relative infection risk. Each case delves into the cell biology of major biological events across the life history of the human</p>",0
110451,1,2172,2017 Spring,1,D01,30-AUG-15,MCB,Molecular and Cellular Biology,64,64,"",000000000000000064,15459,2017,The Cell Biology of Human Life in the World,18,DIS,Discussion,4, ,FAS,MCB,Molecular and Cellular Biology,MCB,Molecular and Cellular Biology,FAS,Faculty of Arts & Sciences,LG,Letter Grades,N,Non-Enrollment Section,N,No Special Consent Required, ,"","","",N,A,Active,SP,Spring Only,"","",N,Cell Biology of Human Life,"<p>This course teaches fundamental concepts in cell biology in the context of individual life histories drawn from different parts of the world. Each life case focuses on key aspects of human development, growth, aging and disease while providing a nuanced view of the interplay between the life sciences, geography and culture. For example, a comparative discussion of aging in the United States and Japan is used to explore diet, cellular metabolism and its relationship to protein damage and turnover, while the Human Immunodeficiency Virus and AIDS in South Asia is used to explore mucosal immunity and the basis for estimating relative infection risk. Each case delves into the cell biology of major biological events across the life history of the human</p>",0
110451,1,2172,2017 Spring,1,D02,30-AUG-15,MCB,Molecular and Cellular Biology,64,64,"",000000000000000064,15460,2017,The Cell Biology of Human Life in the World,18,DIS,Discussion,4, ,FAS,MCB,Molecular and Cellular Biology,MCB,Molecular and Cellular Biology,FAS,Faculty of Arts & Sciences,LG,Letter Grades,N,Non-Enrollment Section,N,No Special Consent Required, ,"","","",N,A,Active,SP,Spring Only,"","",N,Cell Biology of Human Life,"<p>This course teaches fundamental concepts in cell biology in the context of individual life histories drawn from different parts of the world. Each life case focuses on key aspects of human development, growth, aging and disease while providing a nuanced view of the interplay between the life sciences, geography and culture. For example, a comparative discussion of aging in the United States and Japan is used to explore diet, cellular metabolism and its relationship to protein damage and turnover, while the Human Immunodeficiency Virus and AIDS in South Asia is used to explore mucosal immunity and the basis for estimating relative infection risk. Each case delves into the cell biology of major biological events across the life history of the human</p>",0
